Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,27.8475,27.86,26.8375,27.3325,24.2376,212818400
2015-01-05,27.0725,27.1625,26.3525,26.5625,23.5547,257142000
2015-01-06,26.635,26.8575,26.1575,26.565,23.557,263188400
2015-01-07,26.8,27.05,26.675,26.9375,23.8873,160423600
2015-01-08,27.3075,28.0375,27.175,27.9725,24.8051,237458000
2015-01-09,28.1675,28.3125,27.5525,28.0025,24.8317,214798000
2015-01-12,28.15,28.1575,27.2,27.3125,24.2198,198603200
2015-01-13,27.8575,28.2,27.2275,27.555,24.4349,268367600
2015-01-14,27.26,27.6225,27.125,27.45,24.3417,195826400
2015-01-15,27.5,27.515,26.665,26.705,23.6811,240056000
2015-01-16,26.7575,26.895,26.3,26.4975,23.4971,314053200
2015-01-20,26.96,27.2425,26.625,27.18,24.1023,199599600
2015-01-21,27.2375,27.765,27.0675,27.3875,24.2863,194303600
2015-01-22,27.565,28.1175,27.43,28.1,24.9181,215185600
2015-01-23,28.075,28.4375,27.8825,28.245,25.0467,185859200
2015-01-26,28.435,28.59,28.2,28.275,25.0733,222460000
2015-01-27,28.105,28.12,27.2575,27.285,24.1954,382274800
2015-01-28,29.4075,29.53,28.8275,28.8275,25.5633,585908400
2015-01-29,29.08,29.7975,28.89,29.725,26.3591,337745600
2015-01-30,29.6,30.0,29.2125,29.29,25.9734,334982000
2015-02-02,29.5125,29.7925,29.02,29.6575,26.2993,250956400
2015-02-03,29.625,29.7725,29.4025,29.6625,26.3037,207662800
2015-02-04,29.625,30.1275,29.5775,29.89,26.5054,280598800
2015-02-05,30.005,30.0575,29.8125,29.985,26.6946,168984800
2015-02-06,30.005,30.0625,29.6125,29.7325,26.4698,174826400
2015-02-09,29.6375,29.96,29.6075,29.93,26.6457,155559200
2015-02-10,30.0425,30.5375,30.04,30.505,27.1576,248034000
2015-02-11,30.6925,31.23,30.625,31.22,27.7941,294247200
2015-02-12,31.515,31.87,31.3925,31.615,28.1458,297898000
2015-02-13,31.82,31.82,31.4125,31.77,28.2838,217088800
2015-02-17,31.8725,32.22,31.73,31.9575,28.4507,252609600
2015-02-18,31.9075,32.195,31.8625,32.18,28.6488,179566800
2015-02-19,32.12,32.2575,32.0825,32.1125,28.5887,149449600
2015-02-20,32.155,32.375,32.0125,32.375,28.8224,195793600
2015-02-23,32.505,33.25,32.415,33.25,29.6014,283896400
2015-02-24,33.235,33.4,32.7925,33.0425,29.4166,276912400
2015-02-25,32.89,32.9,32.0375,32.1975,28.6644,298846800
2015-02-26,32.1975,32.7175,31.6525,32.605,29.0271,365150000
2015-02-27,32.5,32.6425,32.06,32.115,28.5909,248059200
2015-03-02,32.3125,32.57,32.075,32.2725,28.7311,192386800
2015-03-03,32.24,32.38,32.0225,32.34,28.7912,151265200
2015-03-04,32.275,32.39,32.08,32.135,28.6087,126665200
2015-03-05,32.145,32.1875,31.44,31.6025,28.1346,226068400
2015-03-06,32.1,32.3425,31.565,31.65,28.1769,291368400
2015-03-09,31.99,32.3925,31.265,31.785,28.2971,354114000
2015-03-10,31.6025,31.805,30.95,31.1275,27.7118,275426400
2015-03-11,31.1875,31.1925,30.5275,30.56,27.2065,275756000
2015-03-12,30.5775,31.225,30.4075,31.1125,27.6984,193450800
2015-03-13,31.1,31.35,30.645,30.8975,27.507,207309200
2015-03-16,30.97,31.2375,30.7175,31.2375,27.8097,143497200
2015-03-17,31.475,31.83,31.4125,31.76,28.2749,204092400
2015-03-18,31.75,32.29,31.5925,32.1175,28.5931,261083600
2015-03-19,32.1875,32.3125,31.85,31.875,28.3772,183238000
2015-03-20,32.0625,32.1,31.29,31.475,28.0211,274780400
2015-03-23,31.78,31.9625,31.63,31.8025,28.3127,150838800
2015-03-24,31.8075,32.01,31.64,31.6725,28.197,131369200
2015-03-25,31.635,31.705,30.845,30.845,27.4603,206620800
2015-03-26,30.69,31.22,30.65,31.06,27.6517,190291600
2015-03-27,31.1425,31.175,30.7275,30.8125,27.4313,158184800
2015-03-30,31.0125,31.6,31.0,31.5925,28.1257,188398800
2015-03-31,31.5225,31.6225,31.09,31.1075,27.694,168362400
2015-04-01,31.205,31.28,30.775,31.0625,27.6539,162485600
2015-04-02,31.2575,31.39,31.0475,31.33,27.892,128880400
2015-04-06,31.1175,31.8775,31.0825,31.8375,28.3439,148776000
2015-04-07,31.91,32.03,31.495,31.5025,28.0456,140049200
2015-04-08,31.4625,31.6,31.2425,31.4,27.9544,149316800
2015-04-09,31.4625,31.645,31.165,31.64,28.168,129936000
2015-04-10,31.4875,31.8025,31.315,31.775,28.2882,160752000
